Errors,Attemps,Accuracy,Elapsed Time,Type,Age,English Proficiency,Coding Proficiency,Dyslexia,Input Device,Participant,Kebab Time,Camel Time
,1,100.00%,5819.5,camel,23,advanced,intermediate,no,mouse,4,4988.2,6087.9
,1,100.00%,5851.8,camel,23,advanced,intermediate,no,mouse,4,5050.9,6536.1
,1,100.00%,7732.5,camel,23,advanced,intermediate,no,mouse,4,5190.2,7223.6
,1,100.00%,8337.2,camel,23,advanced,intermediate,no,mouse,4,5303.8,8680.1
,1,100.00%,9127.4,camel,23,advanced,intermediate,no,mouse,4,5352.5,11007.6
,1,100.00%,9387.2,camel,23,advanced,intermediate,no,mouse,4,5508.5,13848
,1,100.00%,13801.6,camel,23,advanced,intermediate,no,mouse,4,5514,14872.1
,1,100.00%,16313,camel,23,advanced,intermediate,no,mouse,4,5546.3,17823.8
,1,100.00%,20163.4,camel,23,advanced,intermediate,no,mouse,4,5611,20207.8
,1,100.00%,2600.8,kebab,28,advanced,intermediate,not_sure,mouse,5,5628.4,1953.9
,1,100.00%,3294.9,kebab,28,advanced,intermediate,not_sure,mouse,5,5709.1,2939.3
,1,100.00%,3457.9,kebab,28,advanced,intermediate,not_sure,mouse,5,5737.5,3113.8
,1,100.00%,3581.6,kebab,28,advanced,intermediate,not_sure,mouse,5,5791.7,3566.6
,1,100.00%,3749.9,kebab,28,advanced,intermediate,not_sure,mouse,5,5812.4,4339.4
,1,100.00%,6264.6,kebab,28,advanced,intermediate,not_sure,mouse,5,5871.9,4659.9
,1,100.00%,6505,kebab,28,advanced,intermediate,not_sure,mouse,5,6048.1,5280.2
,1,100.00%,6952.6,kebab,28,advanced,intermediate,not_sure,mouse,5,6087.8,5564.9
1,2,50.00%,6967.9,kebab,28,advanced,intermediate,not_sure,mouse,5,6154,8503.7
,1,100.00%,7658.1,kebab,28,advanced,intermediate,not_sure,mouse,5,6264.6,17241.7
,1,100.00%,4181.9,camel,28,advanced,intermediate,not_sure,mouse,5,6268.7,1944
,1,100.00%,4536.8,camel,28,advanced,intermediate,not_sure,mouse,5,6422,2239
,1,100.00%,4635.1,camel,28,advanced,intermediate,not_sure,mouse,5,6428.4,2985
,1,100.00%,4933.7,camel,28,advanced,intermediate,not_sure,mouse,5,6429,3405
,1,100.00%,5042.5,camel,28,advanced,intermediate,not_sure,mouse,5,6450.6,3572
,1,100.00%,6517.5,camel,28,advanced,intermediate,not_sure,mouse,5,6505,4258
,1,100.00%,6621.5,camel,28,advanced,intermediate,not_sure,mouse,5,6952.6,4770
,1,100.00%,9867.1,camel,28,advanced,intermediate,not_sure,mouse,5,6967.9,5026
1,2,50.00%,10707.4,camel,28,advanced,intermediate,not_sure,mouse,5,7156.9,6148
1,2,50.00%,17286.5,camel,28,advanced,intermediate,not_sure,mouse,5,7192.7,9643
,1,100.00%,1935.4,kebab,23,advanced,intermediate,no,mouse,6,7214.3,1953.9
,1,100.00%,2067.5,kebab,23,advanced,intermediate,no,mouse,6,7252.4,2939.3
,1,100.00%,2109.4,kebab,23,advanced,intermediate,no,mouse,6,7413.1,3113.8
,1,100.00%,2641.4,kebab,23,advanced,intermediate,no,mouse,6,7450.5,3566.6
,1,100.00%,3057.8,kebab,23,advanced,intermediate,no,mouse,6,7471.6,4339.4
,1,100.00%,3175.5,kebab,23,advanced,intermediate,no,mouse,6,7512.4,4659.9
,1,100.00%,3933.6,kebab,23,advanced,intermediate,no,mouse,6,7615.8,5280.2
,1,100.00%,4076.2,kebab,23,advanced,intermediate,no,mouse,6,7658.1,5564.9
,1,100.00%,4102.4,kebab,23,advanced,intermediate,no,mouse,6,7920.5,8503.7
,1,100.00%,4823.9,kebab,23,advanced,intermediate,no,mouse,6,7920.5,17241.7
,1,100.00%,1505.3,camel,23,advanced,intermediate,no,mouse,6,8128.1,2316
,1,100.00%,1526.9,camel,23,advanced,intermediate,no,mouse,6,8401,2741
,1,100.00%,2076.6,camel,23,advanced,intermediate,no,mouse,6,8417.9,2880
,1,100.00%,2156.5,camel,23,advanced,intermediate,no,mouse,6,9051.1,2935
