Errors,Attempts,Accuracy,Elapsed Time,Type,Age,English Proficiency,Coding Proficiency,Dyslexia,Input Device,Participant
,1.00,100.00,3457.9,kebab,28,advanced,intermediate,not_sure,mouse,5
,1.00,100.00,3581.6,kebab,28,advanced,intermediate,not_sure,mouse,5
,1.00,100.00,7658.1,kebab,28,advanced,intermediate,not_sure,mouse,5
1,2.00,50.00,6967.9,kebab,28,advanced,intermediate,not_sure,mouse,5
,1.00,100.00,6952.6,kebab,28,advanced,intermediate,not_sure,mouse,5
,1.00,100.00,2600.8,kebab,28,advanced,intermediate,not_sure,mouse,5
,1.00,100.00,4635.1,camel,28,advanced,intermediate,not_sure,mouse,5
,1.00,100.00,4536.8,camel,28,advanced,intermediate,not_sure,mouse,5
,1.00,100.00,6621.5,camel,28,advanced,intermediate,not_sure,mouse,5
,1.00,100.00,4181.9,camel,28,advanced,intermediate,not_sure,mouse,5
1,2.00,50.00,10707.4,camel,28,advanced,intermediate,not_sure,mouse,5
,1.00,100.00,5042.5,camel,28,advanced,intermediate,not_sure,mouse,5
,1.00,100.00,9867.1,camel,28,advanced,intermediate,not_sure,mouse,5
1,2.00,50.00,17286.5,camel,28,advanced,intermediate,not_sure,mouse,5
,1.00,100.00,4933.7,camel,28,advanced,intermediate,not_sure,mouse,5
,1.00,100.00,6517.5,camel,28,advanced,intermediate,not_sure,mouse,5
,1.00,100.00,2067.5,kebab,23,advanced,intermediate,no,mouse,6
,1.00,100.00,1935.4,kebab,23,advanced,intermediate,no,mouse,6
,1.00,100.00,3057.8,kebab,23,advanced,intermediate,no,mouse,6
,1.00,100.00,3933.6,kebab,23,advanced,intermediate,no,mouse,6
,1.00,100.00,4823.9,kebab,23,advanced,intermediate,no,mouse,6
,1.00,100.00,3175.5,kebab,23,advanced,intermediate,no,mouse,6
,1.00,100.00,2641.4,kebab,23,advanced,intermediate,no,mouse,6
,1.00,100.00,4102.4,kebab,23,advanced,intermediate,no,mouse,6
,1.00,100.00,2109.4,kebab,23,advanced,intermediate,no,mouse,6
,1.00,100.00,4076.2,kebab,23,advanced,intermediate,no,mouse,6
,1.00,100.00,4119.8,camel,23,advanced,intermediate,no,mouse,6
,1.00,100.00,2156.5,camel,23,advanced,intermediate,no,mouse,6
,1.00,100.00,1526.9,camel,23,advanced,intermediate,no,mouse,6
,1.00,100.00,2076.6,camel,23,advanced,intermediate,no,mouse,6
,1.00,100.00,1505.3,camel,23,advanced,intermediate,no,mouse,6
